Fecha,Ingresos (miles de pesos),A̱o_Temporal
2024-06-30,442032166.69,2024
2024-03-31,346198986.13,2024
2023-12-31,167376014.8,2023
2023-09-30,133106593.41,2023
2023-06-30,118060280.28,2023
2033-03-31,104134992.81,2033
2022-12-31,72443482.9891497,2022
2022-09-30,64086784.3305304,2022
2022-06-30,60419500.6232803,2022
2022-03-31,55219313.0146503,2022
2021-12-31,45467887.1650125,2021
2021-09-30,42999944.2928225,2021
2021-06-30,38239666.6335425,2021
2021-03-31,36676371.3623924,2021
2020-12-31,33539702.7163118,2020
2020-09-30,31997444.5306992,2020
2020-06-30,32102475.9914636,2020
2020-03-31,29946216.4520491,2020
2019-12-31,24169250.6990153,2019
2019-09-30,21652748.4446425,2019
2019-06-30,20743117.6940061,2019
2019-03-31,20207413.7708524,2019
2018-12-31,16637686.5890096,2018
2018-09-30,15410980.692583,2018
2018-06-30,14319467.4607138,2018
2018-03-31,13171459.2308934,2018
2017-12-31,11226127.38858,2017
2017-09-30,10065997.86215,2017
2017-06-30,9678646.92829,2017
2017-03-31,8701201.42137,2017
2016-12-31,7483980.39327901,2016
2016-09-30,6912441.53885665,2016
2016-06-30,6534240.5975,2016
2016-03-31,5936844.8865,2016
2015-12-31,5376899.206,2015
2015-09-30,5153738.88436,2015
2015-06-30,4701790.71966,2015
2015-03-31,4876385.31507,2015
2014-12-31,3950440.78037,2014
2014-09-30,3478637.74279962,2014
2014-06-30,3270816.20391,2014
2014-03-31,2984054.20878,2014
