Fecha,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Id_Provincia
2024-06-30,Buenos Aires,3147886,2793773,299661,12436,42016,1
2024-06-30,Capital Federal,1651854,1466033,157247,6526,22048,2
2024-06-30,Catamarca,20365,18074,1939,80,272,3
2024-06-30,Chaco,53967,47897,5137,213,720,4
2024-06-30,Chubut,54140,48049,5154,214,723,5
2024-06-30,Córdoba,481423,427266,45829,1902,6426,6
2024-06-30,Corrientes,79872,70887,7603,316,1066,7
2024-06-30,Entre Ríos,145429,129069,13844,575,1941,8
2024-06-30,Formosa,35792,31766,3407,141,478,9
2024-06-30,Jujuy,27787,24661,2645,110,371,10
2024-06-30,La Pampa,67546,59947,6430,267,902,11
2024-06-30,La Rioja,23011,20422,2191,91,307,12
2024-06-30,Mendoza,188693,167466,17963,745,2519,13
2024-06-30,Misiones,68152,60485,6488,269,910,14
2024-06-30,Neuquén,67617,60010,6437,267,903,15
2024-06-30,Río Negro,69523,61702,6618,275,928,16
2024-06-30,Salta,74846,66426,7125,296,999,17
2024-06-30,San Juan,53493,47476,5092,211,714,18
2024-06-30,San Luis,27921,24780,2658,110,373,19
2024-06-30,Santa Cruz,22302,19793,2123,88,298,20
2024-06-30,Santa Fe,451887,401053,43017,1785,6032,21
2024-06-30,Santiago del Estero,59124,52473,5628,234,789,22
2024-06-30,Tierra del Fuego,14752,13093,1404,58,197,23
2024-06-30,Tucumán,146831,130314,13977,580,1960,24
2024-03-31,Buenos Aires,2921175,2605367,266413,11613,37782,1
2024-03-31,Capital Federal,1420490,1266922,129549,5647,18372,2
2024-03-31,Catamarca,26937,24025,2457,107,348,3
2024-03-31,Chaco,76782,68481,7003,305,993,4
2024-03-31,Chubut,57561,51338,5250,229,744,5
2024-03-31,Córdoba,551443,491827,50292,2192,7132,6
2024-03-31,Corrientes,79867,71232,7284,318,1033,7
2024-03-31,Entre Ríos,170620,152174,15561,678,2207,8
2024-03-31,Formosa,30877,27539,2816,123,399,9
2024-03-31,Jujuy,43517,38812,3969,173,563,10
2024-03-31,La Pampa,66325,59154,6049,264,858,11
2024-03-31,La Rioja,24555,21900,2239,98,318,12
2024-03-31,Mendoza,172145,153535,15700,684,2226,13
2024-03-31,Misiones,84026,74942,7663,334,1087,14
2024-03-31,Neuquén,61384,54748,5598,244,794,15
2024-03-31,Río Negro,69529,62013,6341,276,899,16
2024-03-31,Salta,97425,86893,8885,387,1260,17
2024-03-31,San Juan,59837,53368,5457,238,774,18
2024-03-31,San Luis,28995,25861,2644,115,375,19
2024-03-31,Santa Cruz,21691,19346,1978,86,281,20
2024-03-31,Santa Fe,598071,533414,54544,2378,7735,21
2024-03-31,Santiago del Estero,62660,55886,5715,249,810,22
2024-03-31,Tierra del Fuego,16805,14988,1533,67,217,23
2024-03-31,Tucumán,165341,147467,15079,657,2138,24
2023-12-31,Buenos Aires,3147886,2793773,299661,12436,42016,1
2023-12-31,Capital Federal,1651854,1466033,157247,6526,22048,2
2023-12-31,Catamarca,20365,18074,1939,80,272,3
2023-12-31,Chaco,53967,47897,5137,213,720,4
2023-12-31,Chubut,54140,48049,5154,214,723,5
2023-12-31,Córdoba,481423,427266,45829,1902,6426,6
2023-12-31,Corrientes,79872,70887,7603,316,1066,7
2023-12-31,Entre Ríos,145429,129069,13844,575,1941,8
2023-12-31,Formosa,35792,31766,3407,141,478,9
2023-12-31,Jujuy,27787,24661,2645,110,371,10
2023-12-31,La Pampa,67546,59947,6430,267,902,11
2023-12-31,La Rioja,23011,20422,2191,91,307,12
2023-12-31,Mendoza,188693,167466,17963,745,2519,13
2023-12-31,Misiones,68152,60485,6488,269,910,14
2023-12-31,Neuquén,67617,60010,6437,267,903,15
2023-12-31,Río Negro,69523,61702,6618,275,928,16
2023-12-31,Salta,74846,66426,7125,296,999,17
2023-12-31,San Juan,53493,47476,5092,211,714,18
2023-12-31,San Luis,27921,24780,2658,110,373,19
2023-12-31,Santa Cruz,22302,19793,2123,88,298,20
2023-12-31,Santa Fe,451887,401053,43017,1785,6032,21
2023-12-31,Santiago del Estero,59124,52473,5628,234,789,22
2023-12-31,Tierra del Fuego,14752,13093,1404,58,197,23
2023-12-31,Tucumán,146831,130314,13977,580,1960,24
2023-09-30,Buenos Aires,3192214,2830114,306770,12290,43040,1
2023-09-30,Capital Federal,1680216,1489625,161468,6469,22654,2
2023-09-30,Catamarca,21077,18687,2025,81,284,3
2023-09-30,Chaco,56620,50198,5441,218,763,4
2023-09-30,Chubut,60327,53485,5797,232,813,5
2023-09-30,Córdoba,468606,415451,45033,1804,6318,6
2023-09-30,Corrientes,82141,72824,7894,316,1107,7
2023-09-30,Entre Ríos,148872,131985,14307,573,2007,8
2023-09-30,Formosa,34259,30373,3292,132,462,9
2023-09-30,Jujuy,28858,25585,2773,111,389,10
2023-09-30,La Pampa,67389,59745,6476,259,909,11
2023-09-30,La Rioja,23368,20717,2246,90,315,12
2023-09-30,Mendoza,170143,150843,16351,655,2294,13
2023-09-30,Misiones,70473,62480,6772,271,950,14
2023-09-30,Neuquén,74704,66230,7179,288,1007,15
2023-09-30,Río Negro,66524,58978,6393,256,897,16
2023-09-30,Salta,77616,68812,7459,299,1046,17
2023-09-30,San Juan,63651,56431,6117,245,858,18
2023-09-30,San Luis,26296,23313,2527,101,355,19
2023-09-30,Santa Cruz,23283,20642,2237,90,314,20
2023-09-30,Santa Fe,465173,412407,44703,1791,6272,21
2023-09-30,Santiago del Estero,60395,53544,5804,233,814,22
2023-09-30,Tierra del Fuego,19848,17597,1907,76,268,23
2023-09-30,Tucumán,150702,133608,14482,580,2032,24
2023-06-30,Buenos Aires,3147886,2793773,299661,12436,42016,1
2023-06-30,Capital Federal,1651854,1466033,157247,6526,22048,2
2023-06-30,Catamarca,20365,18074,1939,80,272,3
2023-06-30,Chaco,53967,47897,5137,213,720,4
2023-06-30,Chubut,54140,48049,5154,214,723,5
2023-06-30,Córdoba,481423,427266,45829,1902,6426,6
2023-06-30,Corrientes,79872,70887,7603,316,1066,7
2023-06-30,Entre Ríos,145429,129069,13844,575,1941,8
2023-06-30,Formosa,35792,31766,3407,141,478,9
2023-06-30,Jujuy,27787,24661,2645,110,371,10
2023-06-30,La Pampa,67546,59947,6430,267,902,11
2023-06-30,La Rioja,23011,20422,2191,91,307,12
2023-06-30,Mendoza,188693,167466,17963,745,2519,13
2023-06-30,Misiones,68152,60485,6488,269,910,14
2023-06-30,Neuquén,67617,60010,6437,267,903,15
2023-06-30,Río Negro,69523,61702,6618,275,928,16
2023-06-30,Salta,74846,66426,7125,296,999,17
2023-06-30,San Juan,53493,47476,5092,211,714,18
2023-06-30,San Luis,27921,24780,2658,110,373,19
2023-06-30,Santa Cruz,22302,19793,2123,88,298,20
2023-06-30,Santa Fe,451887,401053,43017,1785,6032,21
2023-06-30,Santiago del Estero,59124,52473,5628,234,789,22
2023-06-30,Tierra del Fuego,14752,13093,1404,58,197,23
2023-06-30,Tucumán,146831,130314,13977,580,1960,24
2023-03-31,Buenos Aires,2937826,2590193,291279,11371,44983,1
2023-03-31,Capital Federal,1451142,1279427,143878,5617,22220,2
2023-03-31,Catamarca,28130,24801,2789,109,431,3
2023-03-31,Chaco,79914,70458,7923,309,1224,4
2023-03-31,Chubut,57411,50618,5692,222,879,5
2023-03-31,Córdoba,572246,504532,56737,2215,8762,6
2023-03-31,Corrientes,83237,73387,8253,322,1275,7
2023-03-31,Entre Ríos,177679,156653,17617,688,2721,8
2023-03-31,Formosa,32882,28992,3260,127,503,9
2023-03-31,Jujuy,45443,40065,4506,176,696,10
2023-03-31,La Pampa,67905,59869,6733,263,1040,11
2023-03-31,La Rioja,25642,22608,2542,99,393,12
2023-03-31,Mendoza,172165,151793,17070,666,2636,13
2023-03-31,Misiones,85417,75309,8469,331,1308,14
2023-03-31,Neuquén,62502,55106,6197,242,957,15
2023-03-31,Río Negro,67498,59511,6692,261,1034,16
2023-03-31,Salta,101735,89696,10087,394,1558,17
2023-03-31,San Juan,59837,52756,5933,232,916,18
2023-03-31,San Luis,28995,25564,2875,112,444,19
2023-03-31,Santa Cruz,22296,19658,2211,86,341,20
2023-03-31,Santa Fe,598954,528080,59385,2318,9171,21
2023-03-31,Santiago del Estero,64455,56828,6391,249,987,22
2023-03-31,Tierra del Fuego,16803,14815,1666,65,257,23
2023-03-31,Tucumán,172648,152218,17118,668,2644,24
2022-12-31,Buenos Aires,3128431,2802796,264038,12029,49568,1
2022-12-31,Capital Federal,1563142,1400437,131928,6010,24767,2
2022-12-31,Catamarca,25083,22473,2117,96,397,3
2022-12-31,Chaco,64683,57950,5459,249,1025,4
2022-12-31,Chubut,54249,48601,4579,209,860,5
2022-12-31,Córdoba,495095,443560,41786,1904,7845,6
2022-12-31,Corrientes,89013,79748,7513,342,1410,7
2022-12-31,Entre Ríos,160151,143480,13517,616,2538,8
2022-12-31,Formosa,35186,31523,2970,135,558,9
2022-12-31,Jujuy,35655,31944,3009,137,565,10
2022-12-31,La Pampa,66351,59445,5600,255,1051,11
2022-12-31,La Rioja,25586,22924,2159,98,405,12
2022-12-31,Mendoza,162938,145977,13752,627,2582,13
2022-12-31,Misiones,76346,68398,6444,294,1210,14
2022-12-31,Neuquén,68693,61543,5798,264,1088,15
2022-12-31,Río Negro,67359,60348,5685,259,1067,16
2022-12-31,Salta,86362,77373,7289,332,1368,17
2022-12-31,San Juan,52803,47306,4457,203,837,18
2022-12-31,San Luis,27706,24822,2338,107,439,19
2022-12-31,Santa Cruz,22986,20594,1940,88,364,20
2022-12-31,Santa Fe,490492,439437,41397,1886,7772,21
2022-12-31,Santiago del Estero,64909,58153,5478,250,1028,22
2022-12-31,Tierra del Fuego,14833,13289,1252,57,235,23
2022-12-31,Tucumán,162823,145875,13742,626,2580,24
2022-09-30,Buenos Aires,3116760,2791694,265040,11756,48270,1
2022-09-30,Capital Federal,1567975,1404441,133336,5914,24284,2
2022-09-30,Catamarca,25646,22971,2181,97,397,3
2022-09-30,Chaco,65551,58715,5574,247,1015,4
2022-09-30,Chubut,58697,52576,4991,221,909,5
2022-09-30,Córdoba,486942,436156,41408,1837,7541,6
2022-09-30,Corrientes,89977,80594,7651,339,1393,7
2022-09-30,Entre Ríos,157201,140805,13368,593,2435,8
2022-09-30,Formosa,35254,31577,2998,133,546,9
2022-09-30,Jujuy,36008,32252,3062,136,558,10
2022-09-30,La Pampa,66212,59307,5630,250,1025,11
2022-09-30,La Rioja,25447,22793,2164,96,394,12
2022-09-30,Mendoza,138458,124018,11774,522,2144,13
2022-09-30,Misiones,76605,68616,6514,289,1186,14
2022-09-30,Neuquén,73079,65457,6214,276,1132,15
2022-09-30,Río Negro,65111,58320,5537,246,1008,16
2022-09-30,Salta,87776,78622,7464,331,1359,17
2022-09-30,San Juan,60588,54269,5152,229,938,18
2022-09-30,San Luis,25373,22726,2158,96,393,19
2022-09-30,Santa Cruz,22797,20419,1939,86,353,20
2022-09-30,Santa Fe,497685,445778,42322,1877,7708,21
2022-09-30,Santiago del Estero,62622,56091,5325,236,970,22
2022-09-30,Tierra del Fuego,19122,17128,1626,72,296,23
2022-09-30,Tucumán,163764,146684,13926,618,2536,24
2022-06-30,Buenos Aires,3128431,2802796,264038,12029,49568,1
2022-06-30,Capital Federal,1563142,1400437,131928,6010,24767,2
2022-06-30,Catamarca,25083,22473,2117,96,397,3
2022-06-30,Chaco,64683,57950,5459,249,1025,4
2022-06-30,Chubut,54249,48601,4579,209,860,5
2022-06-30,Córdoba,495095,443560,41786,1904,7845,6
2022-06-30,Corrientes,89013,79748,7513,342,1410,7
2022-06-30,Entre Ríos,160151,143480,13517,616,2538,8
2022-06-30,Formosa,35186,31523,2970,135,558,9
2022-06-30,Jujuy,35655,31944,3009,137,565,10
2022-06-30,La Pampa,66351,59445,5600,255,1051,11
2022-06-30,La Rioja,25586,22924,2159,98,405,12
2022-06-30,Mendoza,162938,145977,13752,627,2582,13
2022-06-30,Misiones,76346,68398,6444,294,1210,14
2022-06-30,Neuquén,68693,61543,5798,264,1088,15
2022-06-30,Río Negro,67359,60348,5685,259,1067,16
2022-06-30,Salta,86362,77373,7289,332,1368,17
2022-06-30,San Juan,52803,47306,4457,203,837,18
2022-06-30,San Luis,27706,24822,2338,107,439,19
2022-06-30,Santa Cruz,22986,20594,1940,88,364,20
2022-06-30,Santa Fe,490492,439437,41397,1886,7772,21
2022-06-30,Santiago del Estero,64909,58153,5478,250,1028,22
2022-06-30,Tierra del Fuego,14833,13289,1252,57,235,23
2022-06-30,Tucumán,162823,145875,13742,626,2580,24
2022-03-31,Buenos Aires,3062075,2735498,266125,11364,49088,1
2022-03-31,Capital Federal,1432318,1279557,124483,5316,22962,2
2022-03-31,Catamarca,30156,26940,2621,112,483,3
2022-03-31,Chaco,84821,75774,7372,315,1360,4
2022-03-31,Chubut,61117,54598,5312,227,980,5
2022-03-31,Córdoba,578691,516972,50294,2148,9277,6
2022-03-31,Corrientes,88933,79448,7729,330,1426,7
2022-03-31,Entre Ríos,189614,169391,16479,704,3040,8
2022-03-31,Formosa,33824,30216,2940,126,542,9
2022-03-31,Jujuy,48682,43490,4231,181,780,10
2022-03-31,La Pampa,68620,61301,5964,255,1100,11
2022-03-31,La Rioja,27488,24556,2389,102,441,12
2022-03-31,Mendoza,163637,146185,14222,607,2623,13
2022-03-31,Misiones,91333,81592,7938,339,1464,14
2022-03-31,Neuquén,65843,58821,5722,244,1056,15
2022-03-31,Río Negro,71369,63757,6203,265,1144,16
2022-03-31,Salta,109054,97423,9478,405,1748,17
2022-03-31,San Juan,62767,56073,5455,233,1006,18
2022-03-31,San Luis,30071,26864,2613,112,482,19
2022-03-31,Santa Cruz,23766,21232,2065,88,381,20
2022-03-31,Santa Fe,628606,561564,54632,2333,10077,21
2022-03-31,Santiago del Estero,67503,60303,5867,251,1082,22
2022-03-31,Tierra del Fuego,17966,16050,1561,67,288,23
2022-03-31,Tucumán,184951,165226,16074,686,2965,24
2021-12-31,Buenos Aires,3313370,3012453,234051,14886,51980,1
2021-12-31,Capital Federal,1439097,1308400,101656,6465,22576,2
2021-12-31,Catamarca,29635,26944,2093,133,465,3
2021-12-31,Chaco,90829,82580,6416,408,1425,4
2021-12-31,Chubut,68209,62015,4818,306,1070,5
2021-12-31,Córdoba,583715,530703,41233,2622,9157,6
2021-12-31,Corrientes,97971,89073,6921,440,1537,7
2021-12-31,Entre Ríos,207536,188688,14660,932,3256,8
2021-12-31,Formosa,36411,33104,2572,164,571,9
2021-12-31,Jujuy,44258,40239,3126,199,694,10
2021-12-31,La Pampa,71751,65235,5068,322,1126,11
2021-12-31,La Rioja,26765,24334,1891,120,420,12
2021-12-31,Mendoza,204522,185947,14447,919,3209,13
2021-12-31,Misiones,98622,89666,6966,443,1547,14
2021-12-31,Neuquén,72616,66022,5129,326,1139,15
2021-12-31,Río Negro,86287,78450,6095,388,1354,16
2021-12-31,Salta,120291,109367,8497,540,1887,17
2021-12-31,San Juan,66631,60580,4707,299,1045,18
2021-12-31,San Luis,33020,30022,2332,148,518,19
2021-12-31,Santa Cruz,27740,25220,1960,125,435,20
2021-12-31,Santa Fe,655796,596238,46324,2946,10288,21
2021-12-31,Santiago del Estero,66649,60596,4708,299,1046,22
2021-12-31,Tierra del Fuego,18937,17217,1338,85,297,23
2021-12-31,Tucumán,165702,150653,11705,744,2600,24
2021-09-30,Buenos Aires,3164518,2852029,242423,15465,54601,1
2021-09-30,Capital Federal,1367485,1232448,104759,6683,23595,2
2021-09-30,Catamarca,24683,22245,1891,121,426,3
2021-09-30,Chaco,73770,66485,5651,361,1273,4
2021-09-30,Chubut,73086,65869,5599,357,1261,5
2021-09-30,Córdoba,484017,436222,37079,2365,8351,6
2021-09-30,Corrientes,78053,70346,5979,381,1347,7
2021-09-30,Entre Ríos,164023,147826,12565,802,2830,8
2021-09-30,Formosa,30471,27462,2334,149,526,9
2021-09-30,Jujuy,35160,31688,2693,172,607,10
2021-09-30,La Pampa,71728,64644,5495,351,1238,11
2021-09-30,La Rioja,21614,19479,1656,106,373,12
2021-09-30,Mendoza,196028,176671,15017,958,3382,13
2021-09-30,Misiones,78868,71080,6042,385,1361,14
2021-09-30,Neuquén,74203,66876,5684,363,1280,15
2021-09-30,Río Negro,83724,75456,6414,409,1445,16
2021-09-30,Salta,93818,84554,7187,458,1619,17
2021-09-30,San Juan,74837,67447,5733,366,1291,18
2021-09-30,San Luis,34431,31031,2638,168,594,19
2021-09-30,Santa Cruz,26961,24299,2065,132,465,20
2021-09-30,Santa Fe,539814,486509,41353,2638,9314,21
2021-09-30,Santiago del Estero,57376,51711,4395,280,990,22
2021-09-30,Tierra del Fuego,21573,19443,1653,105,372,23
2021-09-30,Tucumán,133062,119923,10193,650,2296,24
2021-06-30,Buenos Aires,3313370,3012453,234051,14886,51980,1
2021-06-30,Capital Federal,1439097,1308400,101656,6465,22576,2
2021-06-30,Catamarca,29635,26944,2093,133,465,3
2021-06-30,Chaco,90829,82580,6416,408,1425,4
2021-06-30,Chubut,68209,62015,4818,306,1070,5
2021-06-30,Córdoba,583715,530703,41233,2622,9157,6
2021-06-30,Corrientes,97971,89073,6921,440,1537,7
2021-06-30,Entre Ríos,207536,188688,14660,932,3256,8
2021-06-30,Formosa,36411,33104,2572,164,571,9
2021-06-30,Jujuy,44258,40239,3126,199,694,10
2021-06-30,La Pampa,71751,65235,5068,322,1126,11
2021-06-30,La Rioja,26765,24334,1891,120,420,12
2021-06-30,Mendoza,204522,185947,14447,919,3209,13
2021-06-30,Misiones,98622,89666,6966,443,1547,14
2021-06-30,Neuquén,72616,66022,5129,326,1139,15
2021-06-30,Río Negro,86287,78450,6095,388,1354,16
2021-06-30,Salta,120291,109367,8497,540,1887,17
2021-06-30,San Juan,66631,60580,4707,299,1045,18
2021-06-30,San Luis,33020,30022,2332,148,518,19
2021-06-30,Santa Cruz,27740,25220,1960,125,435,20
2021-06-30,Santa Fe,655796,596238,46324,2946,10288,21
2021-06-30,Santiago del Estero,66649,60596,4708,299,1046,22
2021-06-30,Tierra del Fuego,18937,17217,1338,85,297,23
2021-06-30,Tucumán,165702,150653,11705,744,2600,24
2021-03-31,Buenos Aires,3203761,2874157,247958,15146,66500,1
2021-03-31,Capital Federal,1395627,1252044,108016,6598,28969,2
2021-03-31,Catamarca,26597,23860,2059,126,552,3
2021-03-31,Chaco,75834,68032,5869,359,1574,4
2021-03-31,Chubut,73068,65551,5655,345,1517,5
2021-03-31,Córdoba,523748,469865,40536,2476,10871,6
2021-03-31,Corrientes,78850,70737,6103,373,1637,7
2021-03-31,Entre Ríos,168446,151117,13037,796,3496,8
2021-03-31,Formosa,31265,28048,2420,148,649,9
2021-03-31,Jujuy,42953,38534,3324,203,892,10
2021-03-31,La Pampa,71152,63832,5507,336,1477,11
2021-03-31,La Rioja,24254,21759,1877,115,503,12
2021-03-31,Mendoza,196315,176118,15194,928,4075,13
2021-03-31,Misiones,82076,73632,6352,388,1704,14
2021-03-31,Neuquén,74404,66749,5759,352,1544,15
2021-03-31,Río Negro,82669,74164,6398,391,1716,16
2021-03-31,Salta,96214,86315,7447,455,1997,17
2021-03-31,San Juan,74837,67138,5792,354,1553,18
2021-03-31,San Luis,34431,30888,2665,163,715,19
2021-03-31,Santa Cruz,26930,24160,2084,127,559,20
2021-03-31,Santa Fe,570118,511464,44125,2695,11834,21
2021-03-31,Santiago del Estero,62157,55762,4811,294,1290,22
2021-03-31,Tierra del Fuego,21573,19353,1670,102,448,23
2021-03-31,Tucumán,163185,146397,12630,771,3387,24
2020-12-31,Buenos Aires,3232457,2906464,254292,14992,56709,1
